,gameId,date,time,hId,hScore,vId,vScore
205,0022100140,20211107,6:00 PM ET,1610612752,109,1610612739,126
206,0022100141,20211107,6:00 PM ET,1610612753,107,1610612762,100
207,0022100142,20211107,6:00 PM ET,1610612764,101,1610612749,94
208,0022100143,20211107,6:00 PM ET,1610612758,91,1610612754,94
209,0022100144,20211107,7:00 PM ET,1610612760,99,1610612759,94
210,0022100145,20211107,8:30 PM ET,1610612744,120,1610612745,107
211,0022100146,20211107,9:00 PM ET,1610612746,120,1610612766,106
212,0022100147,20211108,7:00 PM ET,1610612755,96,1610612752,103
213,0022100148,20211108,8:00 PM ET,1610612741,118,1610612751,95
214,0022100149,20211108,8:00 PM ET,1610612763,125,1610612750,118
215,0022100150,20211108,8:30 PM ET,1610612742,108,1610612740,92
216,0022100151,20211108,9:00 PM ET,1610612743,113,1610612748,96
217,0022100152,20211108,10:00 PM ET,1610612744,127,1610612737,113
218,0022100153,20211108,10:00 PM ET,1610612758,104,1610612756,109
219,0022100154,20211108,10:30 PM ET,1610612747,126,1610612766,123
220,0022100155,20211109,7:30 PM ET,1610612755,109,1610612749,118
221,0022100156,20211109,9:00 PM ET,1610612762,110,1610612737,98
222,0022100157,20211109,10:00 PM ET,1610612746,117,1610612757,109
223,0022100158,20211110,7:00 PM ET,1610612739,94,1610612764,97
224,0022100159,20211110,7:00 PM ET,1610612753,90,1610612751,123
225,0022100160,20211110,7:30 PM ET,1610612738,104,1610612761,88
226,0022100161,20211110,7:30 PM ET,1610612752,100,1610612749,112
227,0022100162,20211110,7:30 PM ET,1610612745,104,1610612765,112
228,0022100163,20211110,8:00 PM ET,1610612741,117,1610612742,107
229,0022100164,20211110,8:00 PM ET,1610612763,108,1610612766,118
230,0022100165,20211110,8:00 PM ET,1610612740,100,1610612760,108
231,0022100166,20211110,8:30 PM ET,1610612759,136,1610612758,117
232,0022100167,20211110,9:00 PM ET,1610612743,101,1610612754,98
233,0022100168,20211110,9:00 PM ET,1610612756,119,1610612757,109
234,0022100169,20211110,10:00 PM ET,1610612744,123,1610612750,110
235,0022100170,20211110,10:00 PM ET,1610612747,120,1610612748,117
236,0022100171,20211111,7:00 PM ET,1610612755,109,1610612761,115
237,0022100172,20211111,9:00 PM ET,1610612762,100,1610612754,111
238,0022100173,20211111,10:30 PM ET,1610612746,112,1610612748,109
239,0022100174,20211112,7:00 PM ET,1610612766,104,1610612752,96
240,0022100175,20211112,7:30 PM ET,1610612738,122,1610612749,113
241,0022100176,20211112,7:30 PM ET,1610612739,98,1610612765,78
242,0022100177,20211112,8:00 PM ET,1610612745,92,1610612757,104
243,0022100178,20211112,8:00 PM ET,1610612763,94,1610612756,119
244,0022100179,20211112,8:00 PM ET,1610612740,112,1610612751,120
245,0022100180,20211112,8:00 PM ET,1610612760,105,1610612758,103
246,0022100181,20211112,8:30 PM ET,1610612759,109,1610612742,123
247,0022100182,20211112,9:00 PM ET,1610612743,105,1610612737,96
